corruption_id,happiness_id,institutional_trust,perceived_corruption
234,234,0.3118,0.6881999999999999
235,235,0.06547,0.93453
236,236,0.12348,0.87652
237,237,0.00322,0.99678
238,238,0.13297,0.86703
239,239,0.17914,0.82086
240,240,0.11757,0.88243
241,241,0.02745,0.97255
242,242,0.1616,0.8384
243,243,0.04762,0.95238
244,244,0.04339,0.95661
245,245,0.0,1.0
246,246,0.12721,0.87279
247,247,0.12372,0.87628
248,248,0.08404,0.91596
249,249,0.04472,0.95528
250,250,0.1388,0.8612
251,251,0.03061,0.96939
252,252,0.01521,0.98479
253,253,0.07047,0.92953
254,254,0.11556,0.88444
255,255,0.36794,0.6320600000000001
256,256,0.0817,0.9183
257,257,0.04127,0.95873
258,258,0.13509,0.8649100000000001
259,259,0.03285,0.96715
260,260,0.22423,0.77577
261,261,0.0305,0.9695
262,262,0.06906,0.93094
263,263,0.0557,0.9443
264,264,0.11479,0.88521
265,265,0.07008,0.92992
266,266,0.10613,0.8938699999999999
267,267,0.05301,0.94699
268,268,0.12583,0.87417
269,269,0.08196,0.91804
270,270,0.13636,0.86364
271,271,0.10398,0.89602
272,272,0.06126,0.93874
273,273,0.1717,0.8283
274,274,0.08415,0.91585
275,275,0.07964,0.92036
276,276,0.08722,0.91278
277,277,0.20243,0.79757
278,278,0.10393,0.89607
279,279,0.03616,0.96384
280,280,0.06686,0.93314
281,281,0.01829,0.98171
282,282,0.0326,0.9674
283,283,0.06075,0.93925
284,284,0.3188,0.6812
285,285,0.09753,0.90247
286,286,0.11681,0.88319
287,287,0.00615,0.99385
288,288,0.17955,0.82045
289,289,0.08582,0.91418
290,290,0.07564,0.92436
291,291,0.10039,0.89961
292,292,0.09314,0.90686
293,293,0.13647,0.86353
294,294,0.14476,0.85524
295,295,0.10769,0.89231
296,296,0.18437,0.81563
297,297,0.1553,0.8447
298,298,0.08092,0.91908
299,299,0.08434,0.91566
300,300,0.17176,0.82824
301,301,0.13015,0.86985
302,302,0.04952,0.95048
303,303,0.12533,0.8746700000000001
304,304,0.06442,0.93558
305,305,0.05892,0.94108
306,306,0.07506,0.92494
307,307,0.05099,0.94901
308,308,0.04852,0.95148
309,309,0.1192,0.8808
310,310,0.50521,0.49478999999999995
311,311,0.06681,0.93319
312,312,0.07112,0.92888
313,313,0.11587,0.88413
314,314,0.17233,0.82767
315,315,0.09419,0.90581
316,316,0.315963834524155,0.684036165475845
317,317,0.40077006816864,0.59922993183136
318,318,0.153526559472084,0.846473440527916
319,319,0.367007285356522,0.632992714643478
320,320,0.38261154294014,0.61738845705986
321,321,0.282661825418472,0.7173381745815279
322,322,0.287371516227722,0.712628483772278
323,323,0.382816702127457,0.617183297872543
324,324,0.384398728609085,0.6156012713909149
325,325,0.301183730363846,0.698816269636154
326,326,0.0852421000599861,0.9147578999400139
327,327,0.100106589496136,0.899893410503864
328,328,0.221060365438461,0.778939634561539
329,329,0.135638788342476,0.864361211657524
330,330,0.29838815331459,0.70161184668541
331,331,0.276731938123703,0.723268061876297
332,332,0.251343131065369,0.748656868934631
333,333,0.31883442401886,0.68116557598114
334,334,0.265428066253662,0.734571933746338
335,335,0.0822879821062088,0.9177120178937912
336,336,0.324489563703537,0.675510436296463
337,337,0.111092761158943,0.888907238841057
